NT,NR,NTR,g2(0)
54490,56024,19,1.2447802107305452
55001,56220,19,1.2289159180967901
54811,56810,16,1.0276789558303938
54229,56566,13,0.8475908950396005
54976,56985,17,1.085288563673446
57219,59457,21,1.2345424690065092
54735,55951,18,1.1755186543814453
54630,56415,18,1.168091080733929
54516,56571,14,0.907904550215143
54881,56456,13,0.8391531465775887
54451,56727,15,0.9712378035076737
54370,56015,14,0.9193785309779097
54073,56369,18,1.1810864992985493
54087,55896,11,0.7276944407550336
54179,56365,12,0.7859062553630427
54621,56260,22,1.4318360799170977
54400,55596,13,0.859668279139845
54652,55940,22,1.4392099564230776
54086,55678,8,0.5313142845039518
56128,58053,20,1.2275968244407496
54547,56407,20,1.300038215370863
54639,55368,13,0.8594324933480784
54088,55671,14,0.929882524407138
54507,56041,14,0.9166422595114891
54267,56435,9,0.5877439430623447
54099,55374,19,1.2684941328871635
54442,55576,16,1.0576174827808107
54512,55937,23,1.5085737440615914
56407,58603,17,1.0285515562984708
55007,56289,11,0.7105279848418079
54732,56337,15,0.9729403608535391
53978,56676,23,1.5036330087779404
55268,56893,10,0.6360590141710399
57579,58917,24,1.4149350163546723
55715,56881,23,1.451504791820426
54001,55885,19,1.2591762948822682
53748,55835,19,1.2662363235897316
54690,56182,19,1.2367402004400465
54293,55930,22,1.4489854268257765
54628,55612,24,1.5800012209196101
54065,56110,12,0.79114259170039
54584,55343,11,0.728273697458724
54179,55775,15,0.9927746769058249
54064,55535,17,1.1324107054857413
54402,55935,21,1.3802278359834645
54341,56406,22,1.4354885979033007
53983,56028,18,1.1902559600609137
54178,56102,20,1.3160084522959024
54165,56089,16,1.0533035155616057
54029,55755,11,0.730317876382874
54100,55710,18,1.1944612830305872
53968,56350,14,0.920720445334065
53682,55942,15,0.9989749039003126
53980,56202,19,1.2525611744614802
53805,55776,8,0.53315069723049
53577,55784,13,0.8699319946857274
53894,56348,15,0.9878757638693364
54263,55924,14,0.9226904034027884
54014,56136,16,1.0553637546262595
54206,56413,19,1.2426735084799279
54359,56137,10,0.6554043763518942
54230,56064,19,1.2498558061091056
54043,55758,10,0.6637176377858917
54358,55613,12,0.7939103230404101
54156,55994,17,1.1212200220359043
54154,55709,15,0.9944096984915785
53678,56197,16,1.0608171209210777
53754,55985,20,1.3291607919005752
54119,55935,13,0.8588947386062299
54329,56209,15,0.9823894377396254
54118,55593,14,0.930671001886419
53993,55965,15,0.9928126174450789
53765,56189,21,1.3902673937193581
53983,55971,6,0.39715603276871275
53960,56290,12,0.7901472847707934
53553,56218,10,0.6643100149311183
54071,55846,15,0.9934929306119574
54312,55873,20,1.3181420207180976
54275,55931,13,0.856487307875176
54184,55646,14,0.9286520404960851
53902,55465,14,0.9365568276944457
53799,56445,8,0.5268904198052273
54377,55933,18,1.183638664922251
54261,56023,9,0.5921317526782793
54226,56430,21,1.3725610497017493
54055,55860,10,0.6623586199665422
54364,55743,15,0.9899642532223861
54110,56309,25,1.6410229534508183
53686,56027,15,0.9973850154062838
54130,55598,7,0.4651905024553851
54164,55564,16,1.0632753513512323
54060,56134,22,1.44994204911162
54435,56039,12,0.7867606629955398
53621,56217,13,0.8625231751973955
54134,55889,19,1.255992768702282
53954,55973,12,0.7947106069967099
54240,55640,16,1.0603351931612621
53950,56323,18,1.1847460588147105
54279,56056,12,0.7887825591594215
54154,55712,10,0.6629041007714358
54223,56195,15,0.984555124590799
54411,55932,23,1.5115091306330086
54390,55875,25,1.6452557200399962
54136,55904,11,0.7269317436574968
53999,55822,11,0.7298465696835355
53775,55811,15,0.9995879948182358
54039,55783,13,0.8625100762200586
54022,55579,13,0.8659482938583466
54149,55755,9,0.596208611067799
53909,55593,7,0.46713956185506333
53871,56260,15,0.989843395094744
53744,56456,15,0.9887378591955448
54239,55962,13,0.8565810196277772
54384,55840,17,1.1195986346902975
54670,55855,18,1.1789390979219774
54369,55942,17,1.1178655771364832
54135,56149,20,1.3159513205458824
53909,56261,11,0.7253605930631823
54720,55806,12,0.7859307085762645
54272,55839,19,1.2539208918362665
54312,55867,16,1.0546268691511234
53709,56019,18,1.1965203310236912
53905,56043,11,0.7282361861544019
54136,55717,14,0.928291007582151
54376,56246,14,0.9155016511438478
54245,55598,19,1.2599830822071552
53689,56373,14,0.9251274537437537
53985,55993,12,0.7939705597800607
53732,55832,13,0.866676770962247
53885,55522,20,1.3369864393175597
54884,55677,25,1.6362453380866862
54116,55914,13,0.8592649515003232
53881,55895,13,0.8633059618802372
53894,55588,15,1.001382016667435
54166,56281,16,1.0496908403628904
54044,55593,19,1.264782944481342
54219,55950,24,1.5823029697799418
54280,55771,19,1.255264728922873
54289,56024,11,0.7233304124900571
54116,55711,16,1.0614103939852029
54051,56192,10,0.6584939247245145
54428,55858,20,1.3156859395877594
54227,55866,12,0.792224166118063
53926,56207,22,1.4516571692975135
54230,55563,20,1.3275005217160019
53691,55955,17,1.1317187837063405
54379,56403,20,1.3041470709317966
53831,55663,12,0.8009625024889034
53976,55878,18,1.1936058819370046
54150,55926,15,0.990624433177082
54024,55997,17,1.123899349169985
54067,55733,16,1.06195297211551
53860,55986,12,0.7959127334218042
54331,55915,17,1.1191875985758424
53974,55442,14,0.9356954941130337
54352,56351,18,1.17539907292984
54493,55840,12,0.7887241057275198
53789,56121,12,0.7950462078023622
53747,56144,16,1.0604553787338706
54121,55551,17,1.1308922379768027
53866,56093,18,1.191459010987919
54152,55781,17,1.1255845422060555
54219,55816,14,0.925225977787603
53557,56229,13,0.8633695868565301
54096,56107,15,0.9884143760110787
54131,56086,10,0.6587634234650002
54023,56049,7,0.46236129285473954
54371,55907,20,1.3159108937346793
53983,56003,18,1.19078729586438
54530,56883,15,0.9671709957256555
53903,56335,15,0.9879387481466866
53734,55734,16,1.068514928226737
54441,55694,19,1.2532828366945148
54050,56465,14,0.9174512581492402
54165,56384,18,1.1787667333796248
54079,56520,26,1.7012672360127599
54623,56022,12,0.7842907334691056
54145,56242,16,1.0508261317564094
54264,55677,14,0.9267666577456107
54439,55890,14,0.920266859904302
54307,56508,10,0.6517247990002187
53824,55989,10,0.6636686682276579
54148,55592,13,0.8637312426409434
54084,55632,17,1.130018203449945
53891,56215,12,0.792214494886852
