NG,NGT,NGR,NGTR,g2(0)
219663,1971,814,1,0.13691337663940403
219313,1993,789,0,0.0
219524,1899,790,2,0.29265769458942414
218971,2041,824,1,0.13020161923290982
218646,1927,811,1,0.13990684650661603
219601,1968,831,0,0.0
220051,1980,833,1,0.13341760946802964
219429,1971,795,1,0.1400361850607392
219457,1948,764,0,0.0
219629,1981,836,2,0.265233836277169
219057,2020,810,0,0.0
218743,1992,827,3,0.3983461050975365
219454,1911,788,0,0.0
219512,1864,883,1,0.13336800509383248
219523,1893,808,0,0.0
218958,1976,836,2,0.2650925943862232
219877,2002,812,0,0.0
219277,2020,836,0,0.0
220175,2003,816,0,0.0
219039,1925,766,0,0.0
220260,1958,826,0,0.0
219419,1923,780,1,0.14628518474072297
218761,1981,852,3,0.38883655288622193
219684,1937,830,0,0.0
219665,1990,794,1,0.13902320165057022
218914,1982,878,1,0.12579847327542415
219371,1897,819,2,0.2823956340034358
219368,1924,805,1,0.14163556772252425
219375,1926,828,2,0.27512528782337803
219299,1895,793,0,0.0
219052,1993,782,0,0.0
218891,2000,795,1,0.13766729559748428
218260,1954,803,1,0.1391022152088318
219953,1905,842,1,0.1371269505801086
220320,1986,783,0,0.0
219268,1933,864,1,0.13128939855530647
220037,1914,812,1,0.1415786452944598
219022,1961,850,5,0.6569937306896242
218296,2010,786,1,0.138174268606079
220270,1976,839,0,0.0
219372,1964,831,0,0.0
219614,1896,787,1,0.14717937582766366
219675,1921,832,1,0.1374453159412165
219301,1851,814,0,0.0
218615,2010,824,1,0.13199475921364054
219492,1859,839,0,0.0
219789,1961,846,0,0.0
219655,1984,810,1,0.1366829699322979
219861,1927,824,2,0.27692952977866897
219736,1946,783,1,0.144210411637849
219423,1859,800,2,0.2950820333512641
219094,1942,752,0,0.0
218653,1901,837,1,0.13741934226908178
219489,1924,832,0,0.0
219763,1868,856,1,0.13743708599331586
219198,2010,763,0,0.0
219249,2010,776,1,0.1405658562855824
219421,1952,822,0,0.0
219547,2030,851,1,0.12708722858647897
219382,1969,862,1,0.12925519567212915
219497,1941,838,0,0.0
220226,2008,805,0,0.0
218800,1931,837,4,0.5415013918045942
219411,1900,793,0,0.0
220018,1964,780,1,0.14362238236983654
220077,1920,817,0,0.0
220169,1963,833,0,0.0
218984,1866,821,0,0.0
219651,1962,835,0,0.0
219982,1969,839,1,0.13316174240658696
219705,1888,820,0,0.0
219290,1950,858,1,0.13106807722192337
219343,1940,848,1,0.13332948356350904
220206,1976,856,1,0.13018724696356276
219032,1993,824,1,0.13337457801333794
219272,1888,844,2,0.27521286850349425
219314,1938,795,0,0.0
219072,1946,801,2,0.28108748955891466
220453,1958,779,1,0.14453261757497957
219510,1895,819,0,0.0
220506,1999,859,0,0.0
219185,1915,872,0,0.0
219645,1991,832,1,0.13259487404860332
219646,1973,852,3,0.3919926043845435
